	wavelength	counts
935	572.070833	149.0
936	572.415887	151.0
937	572.7609	151.0
938	573.105872	153.0
939	573.450803	148.0
940	573.795692	153.0
941	574.140541	145.0
942	574.485348	148.0
943	574.830115	148.0
944	575.17484	149.0
945	575.519524	149.0
946	575.864167	150.0
947	576.208769	157.0
948	576.55333	152.0
949	576.897849	154.0
950	577.242328	149.0
951	577.586765	148.0
952	577.931161	152.0
953	578.275515	149.0
954	578.619829	151.0
955	578.964101	147.0
956	579.308332	148.0
957	579.652522	149.0
958	579.996671	156.0
959	580.340778	153.0
960	580.684844	152.0
961	581.028869	156.0
962	581.372853	151.0
963	581.716795	157.0
964	582.060696	143.0
965	582.404555	150.0
966	582.748374	151.0
967	583.092151	149.0
968	583.435886	148.0
969	583.779581	154.0
970	584.123234	153.0
971	584.466845	151.0
972	584.810415	154.0
973	585.153944	147.0
974	585.497431	152.0
975	585.840877	149.0
976	586.184282	147.0
977	586.527645	162.0
978	586.870967	154.0
979	587.214247	159.0
980	587.557486	152.0
981	587.900683	148.0
982	588.243839	155.0
983	588.586953	152.0
984	588.930026	149.0
985	589.273058	149.0
986	589.616048	151.0
987	589.958996	155.0
988	590.301903	155.0
989	590.644768	154.0
990	590.987592	148.0
991	591.330374	152.0
992	591.673115	194.0
993	592.015814	152.0
994	592.358472	149.0
995	592.701087	152.0
996	593.043662	148.0
997	593.386195	156.0
998	593.728686	162.0
999	594.071135	149.0
1000	594.413543	160.0
1001	594.755909	151.0
1002	595.098234	150.0
1003	595.440517	145.0
1004	595.782758	154.0
1005	596.124957	151.0
1006	596.467115	149.0
1007	596.809231	209.0
1008	597.151306	158.0
1009	597.493339	156.0
1010	597.83533	149.0
1011	598.177279	156.0
1012	598.519186	148.0
1013	598.861052	149.0
1014	599.202876	151.0
1015	599.544658	144.0
1016	599.886399	145.0
1017	600.228097	219.0
1018	600.569754	150.0
1019	600.911369	145.0
1020	601.252942	155.0
1021	601.594474	150.0
1022	601.935963	145.0
1023	602.277411	146.0
1024	602.618817	158.0
1025	602.960181	153.0
1026	603.301503	147.0
1027	603.642783	147.0
1028	603.984022	156.0
1029	604.325218	145.0
1030	604.666373	143.0
1031	605.007485	153.0
1032	605.348556	152.0
1033	605.689585	153.0
1034	606.030571	148.0
1035	606.371516	149.0
1036	606.712419	142.0
1037	607.05328	159.0
1038	607.394099	150.0
1039	607.734876	153.0
1040	608.075611	152.0
1041	608.416304	150.0
1042	608.756955	148.0
1043	609.097563	147.0
1044	609.43813	142.0
1045	609.778655	148.0
1046	610.119138	144.0
1047	610.459578	146.0
1048	610.799977	146.0
1049	611.140333	143.0
1050	611.480648	146.0
1051	611.82092	144.0
1052	612.16115	152.0
1053	612.501338	155.0
1054	612.841484	146.0
1055	613.181588	148.0
1056	613.52165	144.0
1057	613.861669	144.0
1058	614.201647	151.0
1059	614.541582	139.0
1060	614.881475	148.0
1061	615.221325	150.0
1062	615.561134	151.0
1063	615.9009	152.0
1064	616.240624	151.0
1065	616.580306	146.0
1066	616.919946	148.0
1067	617.259543	145.0
1068	617.599098	143.0
1069	617.938611	165.0
1070	618.278082	147.0
1071	618.61751	149.0
1072	618.956896	145.0
1073	619.29624	146.0
1074	619.635541	144.0
1075	619.9748	144.0
1076	620.314017	146.0
1077	620.653191	153.0
1078	620.992323	143.0
1079	621.331413	142.0
1080	621.67046	147.0
1081	622.009465	143.0
1082	622.348428	160.0
1083	622.687348	155.0
1084	623.026226	140.0
1085	623.365061	151.0
1086	623.703854	146.0
1087	624.042604	150.0
1088	624.381312	147.0
1089	624.719978	149.0
1090	625.058601	146.0
1091	625.397182	160.0
1092	625.73572	142.0
1093	626.074215	146.0
1094	626.412669	151.0
1095	626.751079	161.0
1096	627.089447	148.0
1097	627.427773	145.0
1098	627.766056	147.0
1099	628.104297	142.0
1100	628.442494	140.0
1101	628.78065	140.0
1102	629.118763	141.0
1103	629.456833	144.0
1104	629.794861	145.0
1105	630.132846	143.0
1106	630.470788	141.0
1107	630.808688	139.0
1108	631.146545	142.0
1109	631.48436	141.0
1110	631.822132	155.0
1111	632.159861	143.0
1112	632.497548	143.0
1113	632.835192	138.0
1114	633.172793	142.0
1115	633.510351	142.0
1116	633.847867	140.0
1117	634.185341	146.0
1118	634.522771	140.0
1119	634.860159	141.0
1120	635.197504	138.0
1121	635.534806	138.0
1122	635.872065	146.0
1123	636.209282	138.0
1124	636.546456	140.0
1125	636.883587	139.0
1126	637.220676	143.0
1127	637.557721	146.0
1128	637.894724	145.0
1129	638.231684	140.0
1130	638.568601	145.0
1131	638.905475	146.0
1132	639.242307	139.0
1133	639.579095	142.0
1134	639.915841	152.0
1135	640.252544	140.0
1136	640.589204	140.0
1137	640.925821	139.0
1138	641.262395	137.0
1139	641.598926	141.0
1140	641.935414	142.0
1141	642.27186	142.0
1142	642.608262	143.0
1143	642.944622	139.0
1144	643.280938	139.0
1145	643.617212	136.0
1146	643.953442	146.0
1147	644.28963	136.0
1148	644.625775	136.0
1149	644.961876	136.0
1150	645.297935	132.0
1151	645.63395	135.0
1152	645.969923	135.0
1153	646.305853	147.0
1154	646.641739	138.0
1155	646.977582	142.0
1156	647.313383	134.0
1157	647.64914	135.0
1158	647.984854	181.0
1159	648.320525	138.0
1160	648.656153	133.0
1161	648.991738	131.0
1162	649.32728	134.0
1163	649.662778	138.0
1164	649.998234	140.0
1165	650.333646	150.0
1166	650.669015	133.0
1167	651.004341	138.0
1168	651.339624	135.0
1169	651.674864	138.0
1170	652.01006	140.0
1171	652.345213	136.0
1172	652.680323	138.0
1173	653.01539	135.0
1174	653.350414	134.0
1175	653.685394	209.0
1176	654.020331	137.0
1177	654.355225	136.0
1178	654.690075	139.0
1179	655.024883	134.0
1180	655.359647	130.0
1181	655.694367	133.0
1182	656.029045	145.0
1183	656.363679	136.0
1184	656.698269	131.0
1185	657.032817	134.0
1186	657.367321	135.0
1187	657.701781	134.0
1188	658.036199	137.0
1189	658.370573	136.0
1190	658.704903	134.0
1191	659.039191	134.0
1192	659.373434	138.0
1193	659.707635	134.0
1194	660.041792	137.0
1195	660.375905	133.0
1196	660.709975	132.0
1197	661.044002	137.0
1198	661.377985	132.0
1199	661.711925	130.0
1200	662.045821	154.0
1201	662.379674	137.0
1202	662.713483	140.0
1203	663.047249	162.0
1204	663.380971	137.0
1205	663.71465	136.0
1206	664.048285	129.0
1207	664.381877	136.0
1208	664.715425	132.0
1209	665.04893	131.0
1210	665.382391	130.0
1211	665.715808	134.0
1212	666.049182	148.0
1213	666.382513	139.0
1214	666.715799	150.0
1215	667.049042	129.0
1216	667.382242	127.0
1217	667.715398	131.0
1218	668.04851	142.0
1219	668.381579	145.0
1220	668.714603	133.0
1221	669.047585	134.0
1222	669.380522	137.0
1223	669.713416	158.0
1224	670.046266	139.0
1225	670.379073	135.0
1226	670.711836	137.0
1227	671.044555	139.0
1228	671.37723	132.0
1229	671.709862	135.0
1230	672.042449	132.0
1231	672.374994	129.0
1232	672.707494	129.0
1233	673.03995	131.0
1234	673.372363	136.0
1235	673.704732	145.0
1236	674.037057	138.0
1237	674.369339	129.0
1238	674.701576	130.0
1239	675.03377	129.0
1240	675.36592	131.0
1241	675.698026	134.0
1242	676.030088	139.0
1243	676.362106	138.0
1244	676.694081	133.0
